pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
4,System,0.0,0.00B,83.01MB,1.50GB,running,1970-01-01 05:30:00,0,159,0
4260,Video.UI.exe,0.0,0.00B,9.29MB,832.00KB,stopped,2021-03-17 15:08:24,32,14,4
4236,svchost.exe,0.0,0.00B,124.88KB,0.00B,running,2021-03-16 22:19:57,0,9,0
4216,armsvc.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,2,0
4176,valWBFPolicyService.exe,0.0,0.00B,0.00B,642.00B,running,2021-03-16 22:19:03,0,2,0
4152,svchost.exe,0.0,0.00B,281.91KB,128.91KB,running,2021-03-16 22:19:03,0,7,0
4112,svchost.exe,0.0,0.00B,43.50KB,0.00B,running,2021-03-16 22:19:03,0,3,0
4100,svchost.exe,0.0,0.00B,169.44KB,283.91KB,running,2021-03-16 22:19:03,0,6,0
4036,ERAAgent.exe,0.0,0.00B,49.35MB,38.68MB,running,2021-03-16 22:19:03,0,24,0
4028,fpCSEvtSvc.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,3,0
4016,svchost.exe,0.0,0.00B,12.94MB,4.89MB,running,2021-03-16 22:19:03,0,10,0
4008,svchost.exe,0.0,0.00B,172.95MB,89.10MB,running,2021-03-16 22:19:03,0,16,0
3996,svchost.exe,0.0,0.00B,1.79MB,781.46KB,running,2021-03-16 22:19:03,0,9,0
3920,WmiPrvSE.exe,0.0,0.00B,2.04MB,428.11KB,running,2021-03-16 22:19:03,0,8,0
3904,svchost.exe,0.0,0.00B,52.73KB,85.83KB,running,2021-03-16 22:19:03,0,5,0
4264,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,9,0
3872,svchost.exe,0.0,0.00B,1.17MB,0.00B,running,2021-03-16 22:19:02,0,5,0
3508,scheduler.exe,0.0,0.00B,1.73MB,0.00B,running,2021-03-16 22:19:01,0,5,0
3484,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,1,0
3468,svchost.exe,0.0,0.00B,3.23KB,0.00B,running,2021-03-16 22:27:13,0,2,0
3412,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:01,0,4,0
3408,SynTPEnhService.exe,0.0,0.00B,10.00B,4.00B,running,2021-03-16 22:19:03,0,3,0
3348,svchost.exe,0.0,0.00B,220.11KB,160.00B,running,2021-03-16 22:19:00,0,12,0
3300,svchost.exe,0.0,0.00B,56.02KB,0.00B,running,2021-03-16 22:19:00,0,7,0
3204,svchost.exe,0.0,0.00B,28.84KB,0.00B,running,2021-03-16 22:19:03,0,3,0
3120,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,4,0
3068,svchost.exe,0.0,0.00B,0.00B,4.68MB,running,2021-03-16 22:18:59,0,12,0
3052,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,11,0
3044,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,5,0
2988,svchost.exe,0.0,0.00B,56.02KB,0.00B,running,2021-03-16 22:19:03,0,6,0
2940,svchost.exe,0.0,0.00B,9.45MB,2.99MB,running,2021-03-16 22:18:59,0,8,0
3808,spoolsv.exe,0.0,0.00B,232.00B,320.00B,running,2021-03-16 22:19:02,0,7,0
4304,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,2,0
4452,unsecapp.exe,0.0,0.00B,80.00B,56.00B,running,2021-03-16 22:19:03,0,3,0
4536,WmiPrvSE.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,6,0
18148,svchost.exe,0.0,0.00B,2.87KB,0.00B,running,2021-03-17 17:21:52,0,3,0
16308,svchost.exe,0.0,0.00B,4.13KB,160.00B,running,2021-03-17 15:15:18,0,4,0
16240,svchost.exe,0.0,0.00B,1.42MB,376.00KB,running,2021-03-17 15:18:22,0,4,0
13476,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-17 09:28:47,0,5,0
12904,SearchProtocolHost.exe,0.0,0.00B,281.06KB,0.00B,running,2021-03-17 17:44:10,0,6,0
11612,svchost.exe,0.0,0.00B,2.97KB,0.00B,running,2021-03-17 16:38:03,0,3,0
9688,svchost.exe,0.0,0.00B,40.00B,28.00B,running,2021-03-17 11:03:31,0,2,0
9252,svchost.exe,0.0,0.00B,703.86KB,50.49KB,running,2021-03-17 09:59:34,0,4,0
9068,svchost.exe,0.0,0.00B,4.72KB,32.00KB,running,2021-03-16 22:23:28,0,6,0
8856,GoogleCrashHandler64.exe,0.0,0.00B,436.00B,320.00B,running,2021-03-16 22:21:39,0,3,0
8660,GoogleCrashHandler.exe,0.0,0.00B,2.84KB,1.49KB,running,2021-03-16 22:21:34,0,3,0
8632,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-17 09:28:17,0,3,0
8528,SgrmBroker.exe,0.0,0.00B,80.78KB,0.00B,running,2021-03-16 22:23:06,0,7,0
7736,SearchIndexer.exe,0.0,0.00B,48.61MB,47.70MB,running,2021-03-16 22:20:34,0,21,0
7104,svchost.exe,0.0,0.00B,140.00KB,0.00B,running,2021-03-16 22:19:55,0,1,0
6980,svchost.exe,0.0,0.00B,17.91KB,122.60KB,running,2021-03-16 22:19:53,0,9,0
6948,WinStore.App.exe,0.0,0.00B,25.27KB,1.02MB,stopped,2021-03-16 22:27:05,32,19,4
4644,HotKeyServiceUWP.exe,0.0,0.00B,2.63KB,97.75KB,running,2021-03-16 22:19:04,0,3,0
4796,svchost.exe,0.0,0.00B,980.00B,1.17KB,running,2021-03-16 22:19:04,0,14,0
5080,FCDBLog.exe,0.0,0.00B,2.30MB,1.60MB,running,2021-03-16 22:19:07,0,26,0
5088,svchost.exe,0.0,0.00B,328.00B,0.00B,running,2021-03-17 09:46:05,0,3,0
5272,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:08,0,1,0
5292,FortiSSLVPNdaemon.exe,0.0,0.00B,187.40MB,179.56MB,running,2021-03-16 22:19:08,0,9,0
2932,svchost.exe,0.0,0.00B,61.11KB,39.98KB,running,2021-03-16 22:18:59,0,13,0
5300,FortiSettings.exe,0.0,0.00B,1.73MB,0.00B,running,2021-03-16 22:19:08,0,3,0
5544,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:26,0,3,0
5996,svchost.exe,0.0,0.00B,24.00B,0.00B,running,2021-03-16 22:19:12,0,1,0
6324,svchost.exe,0.0,0.00B,4.50KB,0.00B,running,2021-03-16 22:20:02,0,8,0
6564,svchost.exe,0.0,0.00B,29.31KB,0.00B,running,2021-03-16 22:19:47,0,2,0
6688,svchost.exe,0.0,0.00B,5.27KB,0.00B,running,2021-03-16 22:19:48,0,3,0
6840,ctfmon.exe,0.0,0.00B,63.24KB,0.00B,running,2021-03-16 22:19:50,128,11,4
5512,MoUsoCoreWorker.exe,0.0,0.00B,12.73MB,1.79MB,running,2021-03-16 22:23:30,0,12,0
2924,svchost.exe,0.0,0.00B,118.61KB,0.00B,running,2021-03-16 22:18:59,0,10,0
19336,SearchFilterHost.exe,0.0,0.00B,7.24KB,0.00B,running,2021-03-17 17:44:10,0,4,0
2848,RAVBg64.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,4,0
1760,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:56,0,4,0
1700,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:56,0,2,0
1660,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:56,0,7,0
1612,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:56,0,1,0
1532,SynTPHelper.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:57,32768,1,4
1520,svchost.exe,0.0,0.00B,57.11KB,10.91MB,running,2021-03-16 22:18:55,0,5,0
1484,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,2,0
1476,svchost.exe,0.0,0.00B,8.00KB,0.00B,running,2021-03-16 22:18:55,0,2,0
1460,LanWlanWwanSwitchingServiceUWP.exe,0.0,0.00B,3.71KB,347.58KB,running,2021-03-16 22:19:07,0,6,0
1448,svchost.exe,0.0,0.00B,34.28MB,51.06MB,running,2021-03-16 22:18:55,0,6,0
1340,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,2,0
1300,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,1,0
560,svchost.exe,0.0,0.00B,260.02KB,0.00B,running,2021-03-16 22:18:55,0,12,0
1252,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,6,0
1248,svchost.exe,0.0,0.00B,1.36KB,1.88KB,running,2021-03-16 22:23:30,0,8,0
1184,dwm.exe,0.0,0.00B,69.36KB,0.00B,running,2021-03-16 22:18:55,0,14,0
568,svchost.exe,0.0,0.00B,5.14MB,268.00KB,running,2021-03-16 22:18:54,0,11,0
1080,SecurityHealthService.exe,0.0,0.00B,10.30KB,4.00KB,running,2021-03-16 22:21:05,0,9,0
1064,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,6,0
940,lsass.exe,0.0,0.00B,724.11KB,1.06MB,running,2021-03-16 22:18:54,0,9,0
932,services.exe,0.0,0.00B,705.72KB,160.00B,running,2021-03-16 22:18:54,0,7,0
888,winlogon.exe,0.0,0.00B,219.86KB,0.00B,running,2021-03-16 22:18:54,0,6,0
604,WUDFHost.exe,0.0,0.00B,4.11KB,288.00KB,running,2021-03-16 22:18:55,0,14,0
612,csrss.exe,0.0,0.00B,359.48KB,0.00B,running,2021-03-16 22:18:52,0,14,0
808,wininit.exe,0.0,0.00B,18.50KB,0.00B,running,2021-03-16 22:18:54,0,1,0
788,csrss.exe,0.0,0.00B,6.76MB,0.00B,running,2021-03-16 22:18:54,0,15,0
656,fontdrvhost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:54,0,5,0
420,smss.exe,0.0,0.00B,16.41KB,148.00B,running,2021-03-16 22:18:34,0,2,0
